3日（今天）,小雨,,18
4日（明天）,小雨转阴,22,17
5日（后天）,阴转多云,24,18
6日（周六）,多云,24,15
7日（周日）,阴转小雨,24,15
8日（周一）,小雨,21,18
9日（周二）,阴转多云,25,19
4日（今天）,小雨转阴,23,17
5日（明天）,多云,24,16
6日（后天）,晴转多云,25,17
7日（周日）,阴转小雨,24,15
8日（周一）,小雨,21,19
9日（周二）,阴转多云,25,19
10日（周三）,多云,30,19
4日（今天）,小雨转阴,23,17
5日（明天）,多云,24,16
6日（后天）,晴转多云,25,17
7日（周日）,阴转小雨,24,15
8日（周一）,小雨,21,19
9日（周二）,阴转多云,25,19
10日（周三）,多云,30,19
4日（今天）,小雨转阴,23,17
5日（明天）,多云,24,16
6日（后天）,晴转多云,25,17
7日（周日）,阴转小雨,24,15
8日（周一）,小雨,21,19
9日（周二）,阴转多云,25,19
10日（周三）,多云,30,19
4日（今天）,阴,,17
5日（明天）,多云,24,16
6日（后天）,多云,25,16
7日（周日）,多云转阵雨,26,16
8日（周一）,阵雨转小雨,22,19
9日（周二）,阴转多云,25,19
10日（周三）,多云,30,19
4日（今天）,阴,,17
5日（明天）,多云,24,16
6日（后天）,多云,25,16
7日（周日）,多云转阵雨,26,16
8日（周一）,阵雨转小雨,22,19
9日（周二）,阴转多云,25,19
10日（周三）,多云,30,19
4日（今天）,阴,,17
5日（明天）,多云,24,16
6日（后天）,多云,25,16
7日（周日）,多云转阵雨,26,16
8日（周一）,阵雨转小雨,22,19
9日（周二）,阴转多云,25,19
10日（周三）,多云,30,19
4日（今天）,阴,,17
5日（明天）,多云,24,16
6日（后天）,多云,25,16
7日（周日）,多云转阵雨,26,16
8日（周一）,阵雨转小雨,22,19
9日（周二）,阴转多云,25,19
10日（周三）,多云,30,19
4日（今天）,阴,,17
5日（明天）,多云,24,16
6日（后天）,多云,25,16
7日（周日）,多云转阵雨,26,16
8日（周一）,阵雨转小雨,22,19
9日（周二）,阴转多云,25,19
10日（周三）,多云,30,19
4日（今天）,阴,,17
5日（明天）,多云,24,16
6日（后天）,多云,25,16
7日（周日）,多云转阵雨,26,16
8日（周一）,阵雨转小雨,22,19
9日（周二）,阴转多云,25,19
10日（周三）,多云,30,19
